# McoresScanner - NETHER
# Chunks scanned: 80000
# Total blocks: 5222400000
# Format: block_id,count,percentage

minecraft:air,3379534474,64.712287%
minecraft:netherrack,1256542896,24.060641%
minecraft:lava,124842497,2.390520%
minecraft:bedrock,122872194,2.352792%
minecraft:basalt,113466079,2.172681%
minecraft:cave_air,85356068,1.634422%
minecraft:blackstone,32571213,0.623683%
minecraft:soul_sand,21319240,0.408227%
minecraft:soul_soil,19443155,0.372303%
minecraft:magma_block,13658468,0.261536%
minecraft:gravel,11200029,0.214461%
minecraft:nether_quartz_ore,9225361,0.176650%
minecraft:nether_wart_block,7317030,0.140109%
minecraft:crimson_nylium,5175970,0.099111%
minecraft:nether_bricks,3490279,0.066833%
minecraft:warped_wart_block,3443746,0.065942%
minecraft:nether_gold_ore,3195155,0.061182%
minecraft:warped_nylium,2431427,0.046558%
minecraft:crimson_stem,1430336,0.027388%
minecraft:polished_blackstone_bricks,1196293,0.022907%
minecraft:crimson_roots,743426,0.014235%
minecraft:warped_stem,668590,0.012802%
minecraft:cracked_polished_blackstone_bricks,623558,0.011940%
minecraft:weeping_vines_plant,594025,0.011375%
minecraft:shroomlight,350581,0.006713%
minecraft:glowstone,282793,0.005415%
minecraft:warped_roots,280146,0.005364%
minecraft:weeping_vines,256920,0.004920%
minecraft:nether_sprouts,209442,0.004010%
minecraft:ancient_debris,120748,0.002312%
minecraft:crimson_fungus,96380,0.001846%
minecraft:twisting_vines_plant,88665,0.001698%
minecraft:fire,87087,0.001668%
minecraft:nether_brick_fence,68584,0.001313%
minecraft:warped_fungus,51311,0.000983%
minecraft:twisting_vines,29536,0.000566%
minecraft:brown_mushroom,26765,0.000513%
minecraft:red_mushroom,23917,0.000458%
minecraft:bone_block,23749,0.000455%
minecraft:polished_blackstone_brick_stairs,13329,0.000255%
minecraft:soul_fire,13097,0.000251%
minecraft:gilded_blackstone,10306,0.000197%
minecraft:nether_brick_stairs,5138,0.000098%
minecraft:blackstone_slab,3600,0.000069%
minecraft:polished_basalt,2704,0.000052%
minecraft:lantern,2291,0.000044%
minecraft:nether_wart,1695,0.000032%
minecraft:chiseled_polished_blackstone,1657,0.000032%
minecraft:gold_block,1590,0.000030%
minecraft:blackstone_wall,1332,0.000026%
minecraft:blackstone_stairs,1190,0.000023%
minecraft:iron_chain,1101,0.000021%
minecraft:chest,861,0.000016%
minecraft:dried_ghast,618,0.000012%
minecraft:obsidian,543,0.000010%
minecraft:polished_blackstone_brick_slab,328,0.000006%
minecraft:polished_blackstone_slab,115,0.000002%
minecraft:spawner,107,0.000002%
minecraft:crying_obsidian,102,0.000002%
minecraft:quartz_block,60,0.000001%
minecraft:polished_blackstone,33,0.000001%
minecraft:smooth_quartz_slab,32,0.000001%
minecraft:smooth_quartz,30,0.000001%
minecraft:polished_blackstone_brick_wall,8,0.000000%
