# McoresScanner - OVERWORLD
# Chunks scanned: 89000
# Total blocks: 8726272000
# Format: block_id,count,percentage

minecraft:air,5876538650,67.343061%
minecraft:deepslate,1179157960,13.512734%
minecraft:stone,800757386,9.176397%
minecraft:water,256175567,2.935682%
minecraft:tuff,97995964,1.122999%
minecraft:andesite,84814374,0.971943%
minecraft:diorite,80790189,0.925827%
minecraft:granite,77996883,0.893817%
minecraft:bedrock,68366978,0.783461%
minecraft:dirt,48906597,0.560452%
minecraft:gravel,44693012,0.512166%
minecraft:sand,10985568,0.125891%
minecraft:clay,7886116,0.090372%
minecraft:grass_block,7550217,0.086523%
minecraft:sandstone,6784114,0.077744%
minecraft:copper_ore,6706528,0.076854%
minecraft:coal_ore,6678252,0.076530%
minecraft:iron_ore,4361335,0.049979%
minecraft:cave_air,4156622,0.047633%
minecraft:oak_leaves,4071204,0.046655%
minecraft:lava,3836400,0.043964%
minecraft:tuff_bricks,3438682,0.039406%
minecraft:kelp_plant,3061389,0.035082%
minecraft:deepslate_redstone_ore,2914193,0.033396%
minecraft:deepslate_iron_ore,2531399,0.029009%
minecraft:smooth_basalt,2119734,0.024291%
minecraft:deepslate_diamond_ore,2111130,0.024193%
minecraft:tall_seagrass,1961246,0.022475%
minecraft:deepslate_gold_ore,1902869,0.021806%
minecraft:calcite,1721569,0.019729%
minecraft:packed_ice,1458826,0.016718%
minecraft:moss_block,1454936,0.016673%
minecraft:amethyst_block,1345681,0.015421%
minecraft:deepslate_lapis_ore,1214981,0.013923%
minecraft:seagrass,1138968,0.013052%
minecraft:jungle_leaves,1090180,0.012493%
minecraft:leaf_litter,1084519,0.012428%
minecraft:birch_leaves,1047999,0.012010%
minecraft:dripstone_block,1028890,0.011791%
minecraft:short_grass,1020103,0.011690%
minecraft:vine,1010084,0.011575%
minecraft:lapis_ore,858598,0.009839%
minecraft:spruce_leaves,806631,0.009244%
minecraft:deepslate_copper_ore,635725,0.007285%
minecraft:kelp,579903,0.006645%
minecraft:terracotta,491870,0.005637%
minecraft:oak_planks,405948,0.004652%
minecraft:polished_tuff,389723,0.004466%
minecraft:orange_terracotta,373001,0.004274%
minecraft:gold_ore,355713,0.004076%
minecraft:snow,349969,0.004011%
minecraft:waxed_copper_block,348318,0.003992%
minecraft:sculk,339935,0.003896%
minecraft:oak_log,322544,0.003696%
minecraft:waxed_oxidized_copper,269866,0.003093%
minecraft:ice,268698,0.003079%
minecraft:jungle_log,259411,0.002973%
minecraft:glow_lichen,253744,0.002908%
minecraft:oak_fence,243390,0.002789%
minecraft:redstone_ore,240379,0.002755%
minecraft:pointed_dripstone,233634,0.002677%
minecraft:cobblestone,218175,0.002500%
minecraft:chiseled_tuff_bricks,214081,0.002453%
minecraft:red_terracotta,198863,0.002279%
minecraft:cave_vines_plant,193462,0.002217%
minecraft:tall_grass,134385,0.001540%
minecraft:acacia_leaves,132602,0.001520%
minecraft:dark_oak_leaves,132410,0.001517%
minecraft:birch_log,128789,0.001476%
minecraft:budding_amethyst,122088,0.001399%
minecraft:spruce_log,119775,0.001373%
minecraft:magma_block,113387,0.001299%
minecraft:light_gray_terracotta,113307,0.001298%
minecraft:mossy_cobblestone,110801,0.001270%
minecraft:sculk_vein,110058,0.001261%
minecraft:cave_vines,107490,0.001232%
minecraft:podzol,99703,0.001143%
minecraft:white_terracotta,98661,0.001131%
minecraft:prismarine_bricks,93634,0.001073%
minecraft:prismarine,93488,0.001071%
minecraft:rail,93427,0.001071%
minecraft:moss_carpet,90479,0.001037%
minecraft:bamboo,84506,0.000968%
minecraft:waxed_oxidized_cut_copper,80773,0.000926%
minecraft:cobweb,80746,0.000925%
minecraft:fern,74763,0.000857%
minecraft:deepslate_coal_ore,69482,0.000796%
minecraft:snow_block,57291,0.000657%
minecraft:coarse_dirt,56314,0.000645%
minecraft:waxed_copper_grate,49473,0.000567%
minecraft:dark_oak_log,49342,0.000565%
minecraft:infested_deepslate,42235,0.000484%
