# McoresScanner - NETHER
# Chunks scanned: 63500
# Total blocks: 142832640
# Format: block_id,count,percentage

minecraft:air,94999801,66.511269%
minecraft:netherrack,33235554,23.268879%
minecraft:bedrock,3359888,2.352325%
minecraft:lava,3275161,2.293006%
minecraft:basalt,3094271,2.166361%
minecraft:cave_air,2131789,1.492508%
minecraft:blackstone,868067,0.607751%
minecraft:magma_block,342091,0.239505%
minecraft:gravel,299354,0.209584%
minecraft:nether_quartz_ore,241852,0.169325%
minecraft:warped_wart_block,171751,0.120246%
minecraft:warped_nylium,120397,0.084292%
minecraft:nether_wart_block,97025,0.067929%
minecraft:soul_sand,96407,0.067496%
minecraft:nether_gold_ore,83195,0.058246%
minecraft:nether_bricks,83013,0.058119%
minecraft:crimson_nylium,66284,0.046407%
minecraft:soul_soil,61841,0.043296%
minecraft:polished_blackstone_bricks,45011,0.031513%
minecraft:warped_stem,33259,0.023285%
minecraft:cracked_polished_blackstone_bricks,26226,0.018361%
minecraft:crimson_stem,19591,0.013716%
minecraft:warped_roots,13466,0.009428%
minecraft:nether_sprouts,10317,0.007223%
minecraft:crimson_roots,8943,0.006261%
minecraft:shroomlight,8742,0.006120%
minecraft:glowstone,8732,0.006113%
minecraft:weeping_vines_plant,7941,0.005560%
minecraft:twisting_vines_plant,3554,0.002488%
minecraft:weeping_vines,3402,0.002382%
minecraft:ancient_debris,3353,0.002348%
minecraft:fire,3122,0.002186%
minecraft:warped_fungus,2191,0.001534%
minecraft:nether_brick_fence,1571,0.001100%
minecraft:crimson_fungus,1250,0.000875%
minecraft:twisting_vines,1223,0.000856%
minecraft:brown_mushroom,811,0.000568%
minecraft:red_mushroom,745,0.000522%
minecraft:polished_blackstone_brick_stairs,399,0.000279%
minecraft:gilded_blackstone,317,0.000222%
minecraft:polished_basalt,159,0.000111%
minecraft:nether_brick_stairs,127,0.000089%
minecraft:lantern,75,0.000053%
minecraft:gold_block,56,0.000039%
minecraft:chiseled_polished_blackstone,54,0.000038%
minecraft:iron_chain,44,0.000031%
minecraft:bone_block,42,0.000029%
minecraft:nether_wart,40,0.000028%
minecraft:soul_fire,36,0.000025%
minecraft:blackstone_slab,21,0.000015%
minecraft:chest,19,0.000013%
minecraft:blackstone_stairs,18,0.000013%
minecraft:blackstone_wall,14,0.000010%
minecraft:obsidian,9,0.000006%
minecraft:quartz_block,4,0.000003%
minecraft:polished_blackstone_brick_slab,4,0.000003%
minecraft:spawner,3,0.000002%
minecraft:crying_obsidian,3,0.000002%
minecraft:smooth_quartz_slab,2,0.000001%
minecraft:smooth_quartz,2,0.000001%
minecraft:dried_ghast,1,0.000001%
