# McoresScanner - OVERWORLD
# Chunks scanned: 63500
# Total blocks: 214529024
# Format: block_id,count,percentage

minecraft:air,146535460,68.305657%
minecraft:deepslate,28885510,13.464616%
minecraft:stone,16634673,7.754043%
minecraft:water,8344363,3.889620%
minecraft:tuff,2382907,1.110762%
minecraft:andesite,1992391,0.928728%
minecraft:diorite,1888255,0.880186%
minecraft:granite,1818671,0.847751%
minecraft:bedrock,1682428,0.784243%
minecraft:gravel,1305119,0.608365%
minecraft:dirt,725684,0.338268%
minecraft:packed_ice,531026,0.247531%
minecraft:sand,172303,0.080317%
minecraft:copper_ore,132977,0.061986%
minecraft:coal_ore,120395,0.056121%
minecraft:kelp_plant,109956,0.051255%
minecraft:lava,108949,0.050785%
minecraft:iron_ore,104627,0.048771%
minecraft:tuff_bricks,83128,0.038749%
minecraft:ice,78767,0.036716%
minecraft:sandstone,72121,0.033618%
minecraft:deepslate_redstone_ore,71930,0.033529%
minecraft:deepslate_iron_ore,56442,0.026310%
minecraft:cave_air,54921,0.025601%
minecraft:deepslate_diamond_ore,51019,0.023782%
minecraft:smooth_basalt,46359,0.021610%
minecraft:deepslate_gold_ore,46216,0.021543%
minecraft:clay,41892,0.019527%
minecraft:calcite,37353,0.017412%
minecraft:deepslate_lapis_ore,29787,0.013885%
minecraft:grass_block,29551,0.013775%
minecraft:amethyst_block,28971,0.013504%
minecraft:snow,26859,0.012520%
minecraft:tall_seagrass,26345,0.012280%
minecraft:spruce_leaves,25634,0.011949%
minecraft:kelp,20647,0.009624%
minecraft:seagrass,20409,0.009513%
minecraft:lapis_ore,20379,0.009499%
minecraft:moss_block,17207,0.008021%
minecraft:deepslate_copper_ore,13750,0.006409%
minecraft:blue_ice,12087,0.005634%
minecraft:oak_leaves,11011,0.005133%
minecraft:polished_tuff,10132,0.004723%
minecraft:waxed_copper_block,9257,0.004315%
minecraft:gold_ore,8760,0.004083%
minecraft:waxed_oxidized_copper,6987,0.003257%
minecraft:prismarine,6758,0.003150%
minecraft:glow_lichen,6218,0.002898%
minecraft:prismarine_bricks,6155,0.002869%
minecraft:redstone_ore,5972,0.002784%
minecraft:chiseled_tuff_bricks,5884,0.002743%
minecraft:snow_block,5438,0.002535%
minecraft:cobblestone,4770,0.002223%
minecraft:leaf_litter,4698,0.002190%
minecraft:oak_planks,4588,0.002139%
minecraft:magma_block,3803,0.001773%
minecraft:spruce_log,3100,0.001445%
minecraft:oak_fence,3018,0.001407%
minecraft:cave_vines_plant,2989,0.001393%
minecraft:short_grass,2804,0.001307%
minecraft:budding_amethyst,2681,0.001250%
minecraft:mossy_cobblestone,2134,0.000995%
minecraft:birch_leaves,2061,0.000961%
minecraft:waxed_oxidized_cut_copper,1998,0.000931%
minecraft:deepslate_coal_ore,1591,0.000742%
minecraft:cave_vines,1456,0.000679%
minecraft:waxed_copper_grate,1301,0.000606%
minecraft:moss_carpet,1082,0.000504%
minecraft:rail,1078,0.000502%
minecraft:oak_log,1012,0.000472%
minecraft:diamond_ore,933,0.000435%
minecraft:tall_grass,889,0.000414%
minecraft:cobweb,766,0.000357%
minecraft:waxed_oxidized_cut_copper_stairs,618,0.000288%
minecraft:large_fern,564,0.000263%
minecraft:netherrack,396,0.000185%
minecraft:waxed_copper_bulb,344,0.000160%
minecraft:azalea,312,0.000145%
minecraft:chiseled_tuff,292,0.000136%
minecraft:dark_prismarine,283,0.000132%
minecraft:powder_snow,278,0.000130%
minecraft:mossy_stone_bricks,267,0.000124%
minecraft:waxed_chiseled_copper,266,0.000124%
minecraft:birch_log,243,0.000113%
minecraft:dark_oak_planks,225,0.000105%
minecraft:spruce_planks,217,0.000101%
minecraft:waxed_oxidized_copper_grate,215,0.000100%
minecraft:brown_mushroom,215,0.000100%
minecraft:fern,202,0.000094%
minecraft:big_dripleaf_stem,197,0.000092%
minecraft:raw_copper_block,180,0.000084%
minecraft:dark_oak_stairs,171,0.000080%
minecraft:waxed_exposed_copper_bulb,170,0.000079%
minecraft:flowering_azalea,167,0.000078%
minecraft:big_dripleaf,164,0.000076%
minecraft:oak_stairs,162,0.000076%
minecraft:ladder,156,0.000073%
minecraft:waxed_cut_copper_slab,149,0.000069%
minecraft:iron_chain,149,0.000069%
minecraft:waxed_weathered_copper_bulb,145,0.000068%
minecraft:large_amethyst_bud,132,0.000062%
minecraft:sea_lantern,131,0.000061%
minecraft:jungle_planks,128,0.000060%
minecraft:stone_bricks,126,0.000059%
minecraft:small_amethyst_bud,121,0.000056%
minecraft:amethyst_cluster,115,0.000054%
minecraft:raw_iron_block,113,0.000053%
minecraft:light_gray_stained_glass,111,0.000052%
minecraft:jungle_stairs,108,0.000050%
minecraft:cracked_stone_bricks,107,0.000050%
minecraft:vine,100,0.000047%
minecraft:cobbled_deepslate,96,0.000045%
minecraft:chest,96,0.000045%
minecraft:decorated_pot,92,0.000043%
minecraft:birch_planks,92,0.000043%
minecraft:waxed_cut_copper,85,0.000040%
minecraft:suspicious_gravel,83,0.000039%
minecraft:medium_amethyst_bud,83,0.000039%
minecraft:wet_sponge,78,0.000036%
minecraft:azalea_leaves,65,0.000030%
minecraft:chiseled_stone_bricks,63,0.000029%
minecraft:small_dripleaf,62,0.000029%
minecraft:waxed_oxidized_copper_bulb,61,0.000028%
minecraft:rooted_dirt,61,0.000028%
minecraft:oxidized_cut_copper,60,0.000028%
minecraft:spawner,51,0.000024%
minecraft:wall_torch,49,0.000023%
minecraft:spruce_fence,48,0.000022%
minecraft:oak_button,45,0.000021%
minecraft:dispenser,43,0.000020%
minecraft:spruce_stairs,42,0.000020%
minecraft:vault,41,0.000019%
minecraft:trial_spawner,38,0.000018%
minecraft:barrel,37,0.000017%
minecraft:waxed_oxidized_copper_trapdoor,32,0.000015%
minecraft:spore_blossom,31,0.000014%
minecraft:sugar_cane,29,0.000014%
minecraft:red_mushroom,29,0.000014%
minecraft:candle,28,0.000013%
minecraft:polished_tuff_slab,26,0.000012%
minecraft:waxed_oxidized_copper_door,26,0.000012%
minecraft:podzol,26,0.000012%
minecraft:red_candle,26,0.000012%
minecraft:red_glazed_terracotta,26,0.000012%
minecraft:birch_stairs,26,0.000012%
minecraft:white_stained_glass,24,0.000011%
minecraft:mangrove_leaves,24,0.000011%
minecraft:hopper,24,0.000011%
minecraft:firefly_bush,23,0.000011%
minecraft:flowering_azalea_leaves,22,0.000010%
minecraft:polished_granite,21,0.000010%
minecraft:bone_block,20,0.000009%
minecraft:birch_fence,16,0.000007%
minecraft:dark_oak_trapdoor,14,0.000007%
minecraft:oak_trapdoor,14,0.000007%
minecraft:bush,13,0.000006%
minecraft:black_stained_glass,12,0.000006%
minecraft:waxed_cut_copper_stairs,12,0.000006%
minecraft:jungle_trapdoor,11,0.000005%
minecraft:potted_dead_bush,10,0.000005%
minecraft:gold_block,10,0.000005%
minecraft:dark_oak_log,10,0.000005%
minecraft:flower_pot,10,0.000005%
minecraft:mossy_stone_brick_slab,9,0.000004%
minecraft:bricks,9,0.000004%
minecraft:obsidian,9,0.000004%
minecraft:hanging_roots,8,0.000004%
minecraft:jungle_log,8,0.000004%
