# McoresScanner - NETHER
# Chunks scanned: 87500
# Total blocks: 1202196480
# Format: block_id,count,percentage

minecraft:air,767788164,63.865448%
minecraft:netherrack,284987189,23.705542%
minecraft:basalt,37512340,3.120317%
minecraft:bedrock,28289057,2.353114%
minecraft:lava,27600182,2.295813%
minecraft:cave_air,20027660,1.665922%
minecraft:blackstone,9667416,0.804146%
minecraft:soul_sand,6419000,0.533939%
minecraft:soul_soil,5840574,0.485825%
minecraft:magma_block,3143360,0.261468%
minecraft:gravel,2469418,0.205409%
minecraft:nether_quartz_ore,2126624,0.176895%
minecraft:nether_wart_block,1835760,0.152700%
minecraft:crimson_nylium,1329195,0.110564%
minecraft:nether_gold_ore,740091,0.061562%
minecraft:nether_bricks,604633,0.050294%
minecraft:crimson_stem,362409,0.030146%
minecraft:polished_blackstone_bricks,315764,0.026266%
minecraft:crimson_roots,191941,0.015966%
minecraft:cracked_polished_blackstone_bricks,159482,0.013266%
minecraft:warped_wart_block,152303,0.012669%
minecraft:weeping_vines_plant,149820,0.012462%
minecraft:warped_nylium,106143,0.008829%
minecraft:shroomlight,64652,0.005378%
minecraft:weeping_vines,64405,0.005357%
minecraft:glowstone,63673,0.005296%
minecraft:warped_stem,29828,0.002481%
minecraft:ancient_debris,28027,0.002331%
minecraft:crimson_fungus,23855,0.001984%
minecraft:fire,20343,0.001692%
minecraft:nether_brick_fence,15180,0.001263%
minecraft:warped_roots,11701,0.000973%
minecraft:nether_sprouts,9313,0.000775%
minecraft:bone_block,7310,0.000608%
minecraft:brown_mushroom,6370,0.000530%
minecraft:red_mushroom,5639,0.000469%
minecraft:twisting_vines_plant,5335,0.000444%
minecraft:soul_fire,4120,0.000343%
minecraft:warped_fungus,3920,0.000326%
minecraft:polished_blackstone_brick_stairs,3510,0.000292%
minecraft:gilded_blackstone,2711,0.000226%
minecraft:twisting_vines,1703,0.000142%
minecraft:nether_brick_stairs,1100,0.000091%
minecraft:blackstone_slab,995,0.000083%
minecraft:polished_basalt,803,0.000067%
minecraft:lantern,626,0.000052%
minecraft:chiseled_polished_blackstone,432,0.000036%
minecraft:gold_block,422,0.000035%
minecraft:blackstone_wall,403,0.000034%
minecraft:nether_wart,335,0.000028%
minecraft:iron_chain,288,0.000024%
minecraft:blackstone_stairs,240,0.000020%
minecraft:chest,196,0.000016%
minecraft:dried_ghast,188,0.000016%
minecraft:obsidian,130,0.000011%
minecraft:polished_blackstone_brick_slab,88,0.000007%
minecraft:crying_obsidian,27,0.000002%
minecraft:spawner,25,0.000002%
minecraft:quartz_block,20,0.000002%
minecraft:polished_blackstone_slab,17,0.000001%
minecraft:smooth_quartz,10,0.000001%
minecraft:smooth_quartz_slab,8,0.000001%
minecraft:polished_blackstone,7,0.000001%
