# McoresScanner - OVERWORLD
# Chunks scanned: 87500
# Total blocks: 1805651968
# Format: block_id,count,percentage

minecraft:air,1215000960,67.288768%
minecraft:deepslate,243782329,13.501070%
minecraft:stone,164641534,9.118121%
minecraft:water,57643268,3.192380%
minecraft:tuff,20316351,1.125153%
minecraft:andesite,17216961,0.953504%
minecraft:diorite,16380067,0.907155%
minecraft:granite,16036575,0.888132%
minecraft:bedrock,14145041,0.783376%
minecraft:dirt,10049927,0.556582%
minecraft:gravel,9374421,0.519171%
minecraft:sand,1952968,0.108159%
minecraft:clay,1721346,0.095331%
minecraft:copper_ore,1407277,0.077937%
minecraft:coal_ore,1371110,0.075934%
minecraft:grass_block,1350855,0.074813%
minecraft:iron_ore,896403,0.049644%
minecraft:cave_air,864891,0.047899%
minecraft:lava,863980,0.047849%
minecraft:kelp_plant,779250,0.043156%
minecraft:tuff_bricks,735130,0.040713%
minecraft:spruce_leaves,638031,0.035335%
minecraft:oak_leaves,620565,0.034368%
minecraft:deepslate_redstone_ore,601034,0.033286%
minecraft:deepslate_iron_ore,526023,0.029132%
minecraft:sandstone,513021,0.028412%
minecraft:tall_seagrass,469816,0.026019%
minecraft:smooth_basalt,447853,0.024803%
minecraft:deepslate_diamond_ore,436448,0.024171%
minecraft:deepslate_gold_ore,395117,0.021882%
minecraft:calcite,363961,0.020157%
minecraft:moss_block,350335,0.019402%
minecraft:seagrass,287267,0.015909%
minecraft:amethyst_block,284564,0.015760%
minecraft:deepslate_lapis_ore,252223,0.013969%
minecraft:leaf_litter,249945,0.013842%
minecraft:birch_leaves,218332,0.012092%
minecraft:dripstone_block,193383,0.010710%
minecraft:lapis_ore,172891,0.009575%
minecraft:kelp,151936,0.008414%
minecraft:deepslate_copper_ore,125166,0.006932%
minecraft:short_grass,117873,0.006528%
minecraft:spruce_log,98350,0.005447%
minecraft:snow,94412,0.005229%
minecraft:podzol,83803,0.004641%
minecraft:oak_planks,82972,0.004595%
minecraft:polished_tuff,82285,0.004557%
minecraft:waxed_copper_block,76560,0.004240%
minecraft:sculk,72948,0.004040%
minecraft:gold_ore,72042,0.003990%
minecraft:oak_log,57158,0.003166%
minecraft:waxed_oxidized_copper,54493,0.003018%
minecraft:oak_fence,52784,0.002923%
minecraft:glow_lichen,51391,0.002846%
minecraft:cave_vines_plant,49639,0.002749%
minecraft:redstone_ore,49416,0.002737%
minecraft:chiseled_tuff_bricks,46672,0.002585%
minecraft:pointed_dripstone,41365,0.002291%
minecraft:cobblestone,41077,0.002275%
minecraft:mossy_cobblestone,32921,0.001823%
minecraft:bamboo,29865,0.001654%
minecraft:birch_log,27529,0.001525%
minecraft:cave_vines,26956,0.001493%
minecraft:budding_amethyst,25995,0.001440%
minecraft:tall_grass,25361,0.001405%
minecraft:magma_block,24903,0.001379%
minecraft:sculk_vein,22815,0.001264%
minecraft:rail,20446,0.001132%
minecraft:moss_carpet,20365,0.001128%
minecraft:jungle_leaves,18739,0.001038%
minecraft:coarse_dirt,18550,0.001027%
minecraft:vine,18529,0.001026%
minecraft:waxed_oxidized_cut_copper,17963,0.000995%
minecraft:cobweb,17439,0.000966%
minecraft:deepslate_coal_ore,14663,0.000812%
